text,Favorites,Retweets,Tweet ID
You have no idea what my strategy on ISIS is and neither does ISIS a good thing Please get your facts straight  thanks ,43265,13289,7.58E+17
For the record I have ZERO investments in Russia,37975,12036,7.58E+17
In order to try and deflect the horror and stupidity of the Wikileakes disaster the Dems said maybe it is Russia dealing with Trump Crazy,33824,10008,7.58E+17
" CrookedHillary
 ",15450,5854,7.58E+17
Dems dont want to talk ISIS bc Hillarys foreign interventions unleashed ISIS  her refugee plans make it easier for them to come here,36823,14176,7.58E+17
Bernies exhausted he just wants to shut down and go home to bed,26215,7397,7.58E+17
The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar,37694,12512,7.58E+17
"Thank you New Hampshire 
 MakeAmericaGreatAgainpictwittercomKRCdV77BQp",21016,6409,7.58E+17
"Join us in Toledo Ohio tomorrow night at 8pm  TrumpPence16  MAGA
Tickets ",14367,4403,7.58E+17
"Join us tomorrow in Scranton Pennsylvania at 3pm
 TrumpPence16  MAGA 
Tickets ",14549,4453,7.58E+17
Pocahontas bombed last night Sad to watch,32302,8598,7.58E+17
Why arent the Democrats speaking about ISIS bad trade deals broken borders police and law and order The Republican Convention was great,65245,20690,7.58E+17
Funny if you listen to  the Democrats did not have a good day If you listen to the other two they are fawning What a difference,30173,7961,7.58E+17
Bernie Sanders totally sold out to Crooked Hillary Clinton All of that work energy and money and nothing to show for it Waste of time,66432,23655,7.58E+17
Elizabeth Warren often referred to as Pocahontas just misrepresented me and spoke glowingly about Crooked Hillary who she always hated,42842,11898,7.58E+17
Sad to watch Bernie Sanders abandon his revolution We welcome all voters who want to fix our rigged system and bring back our jobs,67181,23918,7.58E+17
If Cory Booker is the future of the Democratic Party they have no future I know more about Cory than he knows about himself,34730,10184,7.58E+17
I was at  and met Juan Williams in passing  He asked if he could have pictures taken with me I said fine He then trashes on air,26775,8336,7.58E+17
Hard to believe that Bernie Sanders has done such a complete fold He got NOTHING for all of the time energy and money The VP a joke,30620,9089,7.58E+17
While Bernie has totally given up on his fight for the people we welcome all voters who want a better future for our workers,44862,14880,7.58E+17
Clinton betrayed Bernie voters Kaine supports TPP is in pocket of Wall Street and backed Iraq War,24778,8856,7.58E+17
"Thank you OHIO  TrumpPence16
",26982,8174,7.58E+17
"Thank you Roanoke Virginia be back soon  TrumpPence16
",16046,4318,7.58E+17
"MAKE AMERICA SAFE AND GREAT AGAIN  TrumpPence16
",30873,10779,7.58E+17
" MakeAmericaGreatAgain
",33399,13468,7.58E+17
Great POLL numbers are coming out all over People dont want another four years of Obama and Crooked Hillary would be even worse  MAGA,36051,10600,7.58E+17
The State of Florida is so embarrassed by the antics of Crooked Hillary Clinton and Debbie Wasserman Schultz that they will vote for CHANGE,29696,8151,7.58E+17
Wow the Republican Convention went so smoothly compared to the Dems total mess But fear not the dishonest media will find a good spinnnn,42215,12217,7.58E+17
Here we go again with another Clinton scandal and emails yet can you believe Crooked Hillary knew the fix was in B never had a chance,30527,9605,7.58E+17
Crooked Hillary Clinton knew everything that her servant was doing at the DNC  they just got caught thats all They laughed at Bernie,27964,9289,7.58E+17
If Bernie Sanders after seeing the just released emails continues to look exhausted and done then his legacy will never be the same,20452,5414,7.58E+17
Thank you  MakeAmericaGreatAgainpictwittercomPzs9uwgzam,50190,17762,7.58E+17
Hillary was involved in the email scandal because she is the only one with judgement so bad that such a thing could have happened,26719,7672,7.58E+17
How much BAD JUDGEMENT was on display by the people in DNC in writing those really dumb emails using even religion against Bernie,24609,7192,7.58E+17
The new joke in town is that Russia leaked the disastrous DNC emails which should never have been written stupid because Putin likes me,32367,9848,7.58E+17
Watched Crooked Hillary Clinton and Tim Kaine on 60 Minutes No way they are going to fix Americas problems ISIS  all others laughing,33337,10194,7.57E+17
The ratings for the Republican National Convention were very good but for the final night my speech great Thank you,29813,6068,7.57E+17
The highly neurotic Debbie Wasserman Schultz is angry that after stealing and cheating her way to a Crooked Hillary victory shes out,30940,9686,7.57E+17
The Democrats are in a total meltdown but the biased media will say how great they are doing Emails say the rigged system is alive  well,35451,13462,7.57E+17
Even though Bernie Sanders has lost his energy and his strenh I dont believe that his supporters will let Crooked Hillary off the hook,28713,8255,7.57E+17
Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top DWS Too bad Bernie flamed out,20110,5560,7.57E+17
If the Republican Convention had blown up with emails resignation of boss and the beat down of a big player Bernie media would go wild,32777,11612,7.57E+17
The  panels are so one sided almost all against Trump  is so much better and the ratings are much higher Dont watch CNN,31246,9551,7.57E+17
I always said that Debbie Wasserman Schultz was overrated The Dems Convention is cracking up and Bernie is exhausted no energy left,25432,7588,7.57E+17
Today proves what I have always known that  Priebus is the tough one and the smart one not Debbie Wasserman Shultz ,24620,7178,7.57E+17
Sorry folks but Bernie Sanders is exhausted just cant go on any longer He is trying to dismiss the new emails and DNC disrespect SAD,29785,9807,7.57E+17
There is no longer a Bernie Sanders political revolution He is turning out to be a weak and somewhat pathetic figurewants it all to end,27746,9353,7.57E+17
An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates,29495,11230,7.57E+17
Looks like the Bernie people will fight If not their BLOOD SWEAT AND TEARS was a total waste of time Kaine stands for opposite,21804,6767,7.57E+17
Wow President Obamas brother Malik just announced that he is voting for me Was probably treated badly by presidentlike everybody else,83928,32703,7.57E+17
Bernie Sanders started off strong but with the selection of Kaine for VP is ending really weak So much for a movement TOTAL DISRESPECT,20248,5781,7.57E+17
The Crooked Hillary VP choice is VERY disrespectful to Bernie Sanders and all of his supporters Just another case of BAD JUDGEMENT by H,24336,6844,7.57E+17
" MakeAmericaGreatAgain
 TrumpPence16pictwittercomgCzHX1nyxD",23820,8193,7.57E+17
  Dinesh DSousa Hillarys America see it,15919,6272,7.57E+17
  Kaine supported the stupidest deal in the history of deals  …  HillaryKaine2016,12850,5986,7.57E+17
Thank you to everyone for the wonderful reviews of my speech on Thursday night From the heart,33158,6949,7.57E+17
The Wikileaks email release today was so bad to Sanders that it will make it impossible for him to support her unless he is a fraud,37211,15170,7.57E+17
Just saw Crooked Hillary and Tim Kaine together ISIS and our other enemies are drooling They dont look presidential to me,32288,9728,7.57E+17
I will bring jobs back and get wages up People havent had a real wage increase in almost twenty years Clinton killed jobs,34967,10415,7.57E+17
Tim Kaine has been praising the Trans Pacific Partnership and has been pushing hard to get it approved Job killer,22462,8119,7.57E+17
Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs I will bring jobs back,31020,9561,7.57E+17
Crooked Hillary Clinton has destroyed jobs and manufacturing in Pennsylvania Against steelworkers and miners Husband signed NAFTA,26961,9170,7.57E+17
Leaked emails of DNC show plans to destroy Bernie Sanders Mock his heritage and much more Online from Wikileakes really vicious RIGGED,53499,24778,7.57E+17
Pocahontas wanted VP slot so badly but wasnt chosen because she has done nothing in the Senate Also Crooked Hillary hates her,28179,8550,7.57E+17
Tim Kaine is and always has been owned by the banks Bernie supporters are outraged was their last choice Bernie fought for nothing,27364,10154,7.57E+17
The Bernie Sanders supporters are furious with the choice of Tim Kaine who represents the opposite of what Bernie stands for Philly fight,24408,7610,7.57E+17
  General Michael Flynn will make a great Secretary of Defense when you become POTUS  MakeAmericaSafeAgain,15346,4289,7.57E+17
I highly recommend the just out book  THE FIELD OF FIGHT  by General Michael Flynn How to defeat radical Islam,20568,6441,7.57E+17
Is it the same Kaine that took hundreds of thousands of dollars in gifts while Governor of Virginia and didnt get indicted while Bob M did,30961,13020,7.57E+17
Another attack this time in Germany Many killed God bless the people of Munich,40170,11381,7.57E+17
One of the best produced including the incredible stage  set in the history of conventions Great unity Big TV ratings ,25887,5705,7.56E+17
Thank you Cleveland We love you and will be back many times,28381,6041,7.56E+17
What a great four days in Cleveland So proud of the great job done by the RNC and all The police and Secret Service were fantastic,40629,8639,7.56E+17
FORMAL ACCEPTANCE OF THE NOMINATION  TrumpPence16pictwittercomE6ZtVjSQZa,51900,15454,7.56E+17
